,ADM,CREDITO,ENTRADA,PRAZO,PARCELAS,STATUS,VENCIMENTO,TRANSFERENCIA,COD
Imovel,SICOOB PONTA,642.000,355.000,143,3.577,Disponivel,Consultar,1.500,C30
Imovel,RODOBENS,660.000,371.000,109,4.100,Disponivel,10/09/2025,Consultar,C07
Imovel,MYCON,689.403,355.000,157,154 x 4.305 + 04 x 3.530,Disponível,10/09/2025,7.823,C156
Imovel,CNP,695.000,245.000,90,8.064,Disponivel,10/09/2025,Consultar,C15
Imovel,RODOBENS,740.000,379.900,130,4.641,Disponivel,Consultar,Consultar,C35
Imovel,RODOBENS,755.000,410.000,151,4.152,Disponivel,10/09/2025,Consultar,C11
Imovel,GAZIN,783.000,330.000,212,4.532,Disponivel,15/09/2025,7.800,C02
Imovel,UNICOOB,797.595,308.000,105,8.121,Disponível,Consultar,Consultar,C156
Imovel,PORTO,802.035,365.000,139,6.425,Disponível,Consultar,7.893,C156
Imovel,RODOBENS,806.000,419.000,50,22 x 14.800 + 26 x 11.242 + 02 x 9.243,Disponivel,10/09/2025,9.480,C28
Imovel,PORTO,838.000,489.000,156,119 x 4.975 + 37 x 2.473,Disponivel,15/09/2025,10.000,C10
Imovel,PORTO,870.000,481.000,77,8.058,Disponivel,Consultar,Consultar,C21
Imovel,MAGALU - J,915.508,395.000,107,9.597,Disponivel,Consultar,Consultar,C105
Imovel,CNP,946.300,340.000,90,10.475,Disponivel,10/09/2025,13.222,C127
Imovel,SICREDI,999.200,459.000,164,6.594,Disponível,25/09/2025,13.000,C156
